Designator,Mid X,Mid Y,Rotation,Layer
C1_8,10.48,-15.52,0.0,top
C1_7,35.98,-66.52,0.0,top
C1_6,86.98,-66.52,0.0,top
C1_5,35.98,-15.52,0.0,top
C1_4,10.48,-66.52,0.0,top
C1_3,61.48,-66.52,0.0,top
C1_2,61.48,-15.52,0.0,top
C1,86.98,-15.52,0.0,top
D1_8,11.745,-10.44,180.0,bottom
D1_7,88.245,-61.44,180.0,bottom
D1_6,62.745,-10.44,180.0,bottom
D1_5,88.245,-10.44,180.0,bottom
D1_4,37.245,-10.44,180.0,bottom
D1_3,62.745,-61.44,180.0,bottom
D1_2,11.745,-61.44,180.0,bottom
D1,37.245,-61.44,180.0,bottom
LOGO1_8,2.301857,-52.512,0.0,bottom
LOGO1_7,27.801857,-1.512,0.0,bottom
LOGO1_6,53.301857,-52.512,0.0,bottom
LOGO1_5,2.301857,-1.512,0.0,bottom
LOGO1_4,53.301857,-1.512,0.0,bottom
LOGO1_3,78.801857,-1.512,0.0,bottom
LOGO1_2,27.801857,-52.512,0.0,bottom
LOGO1,78.801857,-52.512,0.0,bottom
LOGO2_8,94.170857,-53.259428,0.0,bottom
LOGO2_7,43.170857,-2.259428,0.0,bottom
LOGO2_6,94.170857,-2.259428,0.0,bottom
LOGO2_5,43.170857,-53.259428,0.0,bottom
LOGO2_4,17.670857,-2.259428,0.0,bottom
LOGO2_3,17.670857,-53.259428,0.0,bottom
LOGO2_2,68.670857,-53.259428,0.0,bottom
LOGO2,68.670857,-2.259428,0.0,bottom
R1_8,18.1,-62.71,90.0,top
R1_7,69.1,-11.71,90.0,top
R1_6,18.1,-11.71,90.0,top
R1_5,94.6,-62.71,90.0,top
R1_4,43.6,-11.71,90.0,top
R1_3,69.1,-62.71,90.0,top
R1_2,94.6,-11.71,90.0,top
R1,43.6,-62.71,90.0,top
U1_8,62.75,-89.38,270.0,top
U1_7,11.75,-89.38,270.0,top
U1_6,62.75,-38.38,270.0,top
U1_5,37.25,-38.38,270.0,top
U1_4,11.75,-38.38,270.0,top
U1_3,88.25,-38.38,270.0,top
U1_2,88.25,-89.38,270.0,top
U1,37.25,-89.38,270.0,top
U2_8,11.728,-74.14,90.0,top
U2_7,62.728,-74.14,90.0,top
U2_6,37.228,-74.14,90.0,top
U2_5,62.728,-23.14,90.0,top
U2_4,37.228,-23.14,90.0,top
U2_3,88.228,-23.14,90.0,top
U2_2,11.728,-23.14,90.0,top
U2,88.228,-74.14,90.0,top
